SiteState,state,SiteCity,SiteZipCode,total exports,beef,pork,poultry,dairy,fruits fresh,fruits proc,total fruits,veggies fresh,veggies proc,total veggies,corn,wheat,cotton,Country,SiteName,Lat,Lon
AL,Alabama,Birmingham,35005,1390.63,34.4,10.6,481,4.06,8,17.1,25.11,5.5,8.9,14.33,34.9,70,317.61,USA,N/A,33.52067947,-86.81175995
AK,Alaska,anchorage,99501,13.31,0.2,0.1,0,0.19,0,0,0,0.6,1,1.56,0,0,0,USA,N/A,61.20901108,-149.862793
AZ,Arizona,phoenix,85001,1463.17,71.3,17.9,0,105.48,19.3,41,60.27,147.5,239.4,386.91,7.3,48.7,423.95,USA,N/A,33.45375443,-112.0737534
AR,Arkansas,fayetteville ,72701,3586.02,53.2,29.4,562.9,3.53,2.2,4.7,6.88,4.4,7.1,11.45,69.5,114.5,665.44,USA,N/A,35.9627533,-94.06521606
CA,California,test,91708,15472.88,128.7,11.1,125.4,629.95,1791.8,5644.6,8636.4,803.2,1303.5,2106.79,34.6,249.3,1064.95,USA,N/A,33.9535141,-117.6471329
CO,Colorado,boulder,80301,1851.33,261.4,66,14,71.94,5.7,12.2,17.99,45.1,73.2,118.27,183.2,400.5,0,USA,N/A,40.03008652,-105.2493286
CT,Connecticut,hartford,6101,259.62,1.1,0.1,6.9,9.49,4.2,8.9,13.1,4.3,6.9,11.16,0,0,0,USA,N/A,43.33057542,-88.33915368
DE,Delaware,wilmington,19801,282.19,0.4,0.6,114.7,2.3,0.5,1,1.53,7.6,12.4,20.03,26.9,22.9,0,USA,N/A,39.7441864,-75.55322266
FL,Florida,clearwater,33755,3764.09,42.6,0.9,56.9,66.31,438.2,933.1,1371.36,171.9,279,450.86,3.5,1.8,78.24,USA,N/A,27.97187614,-82.79466248
GA,Georgia,atlanta,30301,2860.84,31,18.9,630.4,38.38,74.6,158.9,233.51,59,95.8,154.77,57.8,65.4,1154.07,USA,N/A,33.75502396,-84.39058685
HI,Hawaii,honolulu,96795,401.84,4,0.7,1.3,1.16,17.7,37.8,55.51,9.5,15.4,24.83,0,0,0,USA,N/A,21.33244896,-157.6972504
ID,Idaho,boise,83701,2078.89,119.8,0,2.4,294.6,6.9,14.7,21.64,121.7,197.5,319.19,24,568.2,0,USA,N/A,43.61685944,-116.2015762
IL,Illinois,chicago,60007,8709.48,53.7,394,14,45.82,4,8.5,12.53,15.2,24.7,39.95,2228.5,223.8,0,USA,N/A,41.88425064,-87.63244629
IN,Indiana,indianapolis,46077,5050.23,21.9,341.9,165.6,89.7,4.1,8.8,12.98,14.4,23.4,37.89,1123.2,114,0,USA,N/A,39.76691055,-86.14996338
IA,Iowa,iowa city,52240,11273.76,289.8,1895.6,155.6,107,1,2.2,3.24,2.7,4.4,7.1,2529.8,3.1,0,USA,N/A,41.63622665,-91.50097656
KS,Kansas,kansas city,64030,4589.01,659.3,179.4,6.4,65.45,1,2.1,3.11,3.6,5.8,9.32,457.3,1426.5,43.98,USA,N/A,39.11352158,-94.62682343
KY,Kentucky,louisville,40018,1889.15,54.8,34.2,151.3,28.27,2.1,4.5,6.6,0,0,0,179.1,149.3,0,USA,N/A,38.23202515,-85.45261383
LA,Louisiana,new orleans,70032,1914.23,19.8,0.8,77.2,6.02,5.7,12.1,17.83,6.6,10.7,17.25,91.4,78.7,280.42,USA,N/A,29.95369911,-90.07775116
ME,Maine,bar harbor,4609,278.37,1.4,0.5,10.4,16.18,16.6,35.4,52.01,24,38.9,62.9,0,0,0,USA,N/A,44.38880157,-68.21148682
