Supplier Name,Shipments,On-Time PO Acknowledgement,On-Time Shipment,TM App matches Vendor PU Req,On Time PU,On Time PU by Appt,On Time DEL,On Time DEL by Appt,Order Fill Rate,ASN Fill Rate,PO Line Item Accuracy,ASN Line Item Accuracy,On-Time & Complete
1,22,100,95.5,90.9,100,100,100,100,71.2,71.2,63.6,63.6,67
2,14,100,0,78.6,78.6,92.9,64.3,85.7,70.6,70.6,64.3,64.3,0
3,11,81.8,27.3,54.5,54.5,90.9,100,100,96.9,96.9,54.5,54.5,70.5
4,10,100,20,100,100,100,100,100,93.9,93.9,60,60,56.4
5,6,100,0,66.7,100,100,100,100,70.6,70.6,50,50,70.6
6,6,83.3,83.3,50,66.7,100,50,100,41.7,41.7,16.7,16.7,41.7
7,5,100,100,100,100,100,100,100,86.4,86.4,80,80,64
8,5,100,0,40,100,100,100,100,58.1,58.1,40,40,58.1
9,4,25,50,75,100,100,75,100,75.7,75.7,0,0,75.7
10,4,50,25,25,50,100,50,75,35.5,35.5,25,25,35.5
11,3,66.7,66.7,66.7,100,100,100,100,100.1,100.1,100,100,69.3
12,3,0,0,100,100,100,33.3,100,81.3,81.3,66.7,66.7,81.3
13,3,100,33.3,66.7,100,100,100,100,78.6,78.6,66.7,66.7,78.6
14,3,100,100,100,100,100,100,100,64.6,64.6,0,0,64.6
15,2,50,100,100,100,100,100,100,100,100,100,100,0
16,2,50,50,0,50,100,50,100,,,,,0
17,2,50,100,0,50,100,100,100,54.5,54.5,50,50,0
18,2,100,0,0,100,100,50,100,100,100,100,100,57.1
19,2,50,0,100,100,100,100,100,100,100,100,100,100
20,2,100,100,100,100,100,100,100,93.3,93.3,0,0,93.3
21,2,50,50,0,50,100,100,100,48.2,48.2,0,0,48.2
22,2,100,0,50,100,100,50,100,68.9,68.9,0,0,33.6
23,2,50,100,0,50,100,50,100,33.3,33.3,50,50,0
24,2,100,100,100,50,50,50,50,51,51,50,50,0
25,2,100,50,100,100,100,100,100,50,50,50,50,50
26,2,50,0,100,100,100,100,100,84.2,84.2,50,50,66.7
27,2,50,50,0,50,100,0,50,100,100,100,100,35.3
28,2,50,50,50,50,100,100,100,100,100,100,100,53.3
29,2,0,0,100,100,100,100,100,97.3,97.3,0,0,97.3
30,2,50,0,50,50,100,50,100,100,100,100,100,57.9
31,1,100,100,100,100,100,100,100,,,,,0
32,1,100,100,100,100,100,100,100,100,100,100,100,100
33,1,100,0,0,0,0,100,100,100,100,100,100,100
34,1,100,100,0,100,100,0,100,100,100,100,100,100
35,1,100,100,0,100,100,0,100,,,,,
36,1,100,0,100,100,100,100,100,100,100,100,100,100
37,1,100,0,100,100,100,100,100,100,100,100,100,100
38,1,100,100,100,100,100,100,100,99.9,99.9,0,0,99.9
39,1,100,100,100,100,100,100,100,100,100,100,100,100
40,1,100,100,100,100,100,0,100,100,100,100,100,100
41,1,0,0,100,100,100,100,100,100,100,100,100,100
42,1,100,100,0,0,100,0,100,100,100,100,100,0
